"id","title","authors","venue","year"
"conf/sigmod/Edelstein95","Research and Products: Are They Relevant To Each Other? (Panel)","Herb Edelstein","SIGMOD Conference","1995"
"journals/sigmod/OrlandicLS02","The Design of a Retrieval Technique for High-Dimensional Data on Tertiary Storage","Ratko Orlandic, Craig Swietlik, Jack Lukaszuk","SIGMOD Record","2002"
"journals/tods/PetersO97","An Axiomatic Model of Dynamic Schema Evolution in Objectbase Systems","M. Tamer �zsu, Randal J. Peters","ACM Trans. Database Syst.","1997"
"journals/sigmod/SommerGB02","The n-Tier Hub Technology","Rainer A. Sommer, David Bailey, Thomas R. Gulledge","SIGMOD Record","2002"
"journals/vldb/FiebigHKMNSW02","Anatomy of a native XML base management system","Thorsten Fiebig, Till Westmann, Robert Schiele, Guido Moerkotte, Carl-Christian Kanne, Julia Neumann, Sven Helmer","VLDB J.","2002"
"journals/vldb/CombiP01","HMAP - A temporal data model managing intervals with different granularities and indeterminacy from natural language sentences","Carlo Combi, Giuseppe Pozzi","VLDB J.","2001"
"conf/sigmod/RoySSB00","Efficient and Extensible Algorithms for Multi Query Optimization","S. Sudarshan, Siddhesh Bhobe, S. Seshadri, Prasan Roy","SIGMOD Conference","2000"
"conf/sigmod/GraySSU03","The Lowell Report","Hans-J�rg Schek, Michael Stonebraker, Jim Gray, Jeffrey D. Ullman","SIGMOD Conference","2003"
"conf/vldb/AshwinRSSS97","Garbage Collection in Object Oriented Databases Using Transactional Cyclic Reference Counting","S. Sudarshan, Prasan Roy, Abraham Silberschatz, S. Seshadri, Srinivas Ashwin","VLDB","1997"
"conf/vldb/StaudtJ96","Incremental Maintenance of Externally Materialized Views","Martin Staudt, Matthias Jarke","VLDB","1996"
"journals/sigmod/Roussopoulos98","Materialized Views and Data Warehouses","Nick Roussopoulos","SIGMOD Record","1998"
"conf/vldb/Korth95","The Double Life of the Transaction Abstraction: Fundamental Principle and Evolving System Concept","Henry F. Korth","VLDB","1995"
"journals/vldb/Cobb97","The Impact of Technology on Commercial Transaction Processing","Edward E. Cobb","VLDB J.","1997"
"conf/vldb/HanF95","Discovery of Multiple-Level Association Rules from Large Databases","Jiawei Han, Yongjian Fu","VLDB","1995"
"journals/sigmod/Stacey95","Replication: DB2, Oracle, or Sybase?","Doug Stacey","SIGMOD Record","1995"
"conf/vldb/Bowker00","Work and Information Practices in the Sciences of Biodiversity","Geoffrey C. Bowker","VLDB","2000"
"journals/sigmod/AtzeniMM97","Semistructured und Structured Data in the Web: Going Back and Forth","Paolo Merialdo, Giansalvatore Mecca, Paolo Atzeni","SIGMOD Record","1997"
"conf/sigmod/ChaudhuriD97","Data Warehousing and OLAP for Decision Support (Tutorial)","Surajit Chaudhuri, Umeshwar Dayal","SIGMOD Conference","1997"
"journals/vldb/FungKL03","Cost-driven vertical class partitioning for methods in object oriented databases","Qing Li, Chi-Wai Fung, Kamalakar Karlapalem","VLDB J.","2003"
"journals/vldb/PeckhamMD95","Data Model for Extensible Support of Explicit Relationships in Design Databases","Joan Peckham, Bonnie MacKellar, Michael Doherty","VLDB J.","1995"
"conf/sigmod/FaginKS03","Efficient similarity search and classification via rank aggregation","Ravi Kumar, D. Sivakumar, Ronald Fagin","SIGMOD Conference","2003"
"conf/sigmod/PolyzotisG02","Statistical synopses for graph-structured XML databases","Minos N. Garofalakis, Neoklis Polyzotis","SIGMOD Conference","2002"
"journals/sigmod/Ahlberg96","Spotfire: An Information Exploration Environment","Christopher Ahlberg","SIGMOD Record","1996"
"conf/vldb/LeeL96","Further Improvements on Integrity Constraint Checking for Stratifiable Deductive Databases","Sin Yeung Lee, Tok Wang Ling","VLDB","1996"
"conf/sigmod/LazaridisM01","Progressive Approximate Aggregate Queries with a Multi-Resolution Tree Structure","Iosif Lazaridis, Sharad Mehrotra","SIGMOD Conference","2001"
"journals/vldb/Bertino94","Index Configuration in Object-Oriented Databases","Elisa Bertino","VLDB J.","1994"
"journals/sigmod/GriffinK98","Algebraic Change Propagation for Semijoin and Outerjoin Queries","Timothy Griffin, Bharat Kumar","SIGMOD Record","1998"
"journals/vldb/YangW03","Incremental computation and maintenance of temporal aggregates","Jun Yang, Jennifer Widom","VLDB J.","2003"
"conf/vldb/Kleewein96","Practical Issues with Commercial Use of Federated Databases","Jim Kleewein","VLDB","1996"
"conf/vldb/Fecteau95","Managing a DB2 Parallel Edition Database","Gilles Fecteau","VLDB","1995"
"conf/sigmod/Moore95","The Lotus Notes Storage System","Kenneth Moore","SIGMOD Conference","1995"
"journals/sigmod/Danish98","Building Database-driven Electronic Catalogs","Sherif Danish","SIGMOD Record","1998"
"journals/vldb/GrefenVA01","Global transaction support for workflow management systems: from formal specification to practical implementation","Paul W. P. J. Grefen, Peter M. G. Apers, Jochem Vonk","VLDB J.","2001"
"conf/vldb/Celis96","The Query Optimizer in Tandem's new ServerWare SQL Product","Pedro Celis","VLDB","1996"
"conf/vldb/MogiK95","Hot Block Clustering for Disk Arrays with Dynamic Striping","Kazuhiko Mogi, Masaru Kitsuregawa","VLDB","1995"
"journals/vldb/SteinbrunnMK97","Heuristic and Randomized Optimization for the Join Ordering Problem","Guido Moerkotte, Michael Steinbrunn, Alfons Kemper","VLDB J.","1997"
"journals/sigmod/LeeCL95","An Aspect of Query Optimization in Multidatabase Systems (Extended Abstract)","Chiang Lee, Hongjun Lu, Chia-Jung Chen","SIGMOD Record","1995"
"conf/vldb/DattaDTVRF01","A Comparative Study of Alternative Middle Tier Caching Solutions to Support Dynamic Web Content Acceleration","Anindya Datta, Kaushik Dutta, Helen M. Thomas, Debra E. VanderMeer, Krithi Ramamritham, Dan Fishman","VLDB","2001"
"journals/tods/DekhtyarRS01","Probabilistic temporal databases, I: algebra","Alex Dekhtyar, Robert Ross, V. S. Subrahmanian","ACM Trans. Database Syst.","2001"
"journals/tods/BrunoCG02","Top-k selection queries over relational databases: Mapping strategies and performance evaluation","Surajit Chaudhuri, Nicolas Bruno, Luis Gravano","ACM Trans. Database Syst.","2002"
"conf/sigmod/PhanN02","GEA: a toolkit for gene expression analysis","Jessica M. Phan, Raymond T. Ng","SIGMOD Conference","2002"
"journals/sigmod/MukhopadhyayGS03","An approach to confidence based page ranking for user oriented Web search","Sanasam Ranbir Singh, Debasis Giri, Debajyoti Mukhopadhyay","SIGMOD Record","2003"
"conf/sigmod/PaparizosACJLNPSWWY03","TIMBER: A Native System for Querying XML","Laks V. S. Lakshmanan, Stelios Paparizos, Nuwee Wiwatwattana, Cong Yu, Jignesh M. Patel, H. V. Jagadish, Andrew Nierman, Divesh Srivastava, Adriane Chapman, Yuqing Wu, Shurug Al-Khalifa","SIGMOD Conference","2003"
"journals/sigmod/BunemanLSTW94","Comprehension Syntax","Limsoon Wong, Dan Suciu, Val Tannen, Peter Buneman, Leonid Libkin","SIGMOD Record","1994"
"conf/sigmod/SengarH03","PLASTIC: Reducing Query Optimization Overheads through Plan Recycling","Jayant R. Haritsa, Vibhuti S. Sengar","SIGMOD Conference","2003"
"journals/sigmod/Rosenthal98","Where Will Object Techonology Drive Data Administration?","Arnon Rosenthal","SIGMOD Record","1998"
"journals/sigmod/GerlhofKM96","On the Cost of Monitoring and Reorganization of Object Bases for Clustering","Guido Moerkotte, Alfons Kemper, Carsten Andreas Gerlhof","SIGMOD Record","1996"
"conf/vldb/LiC94","Semantic Integration in Heterogeneous Databases Using Neural Networks","Chris Clifton, Wen-Syan Li","VLDB","1994"
"journals/sigmod/GroskyFS94","Using Metadata for the Intelligent Browsing of Structured Media Objects","William I. Grosky, Farshad Fotouhi, Ishwar K. Sethi","SIGMOD Record","1994"
"conf/sigmod/Cohen98","Integration of Heterogeneous Databases Without Common Domains Using Queries Based on Textual Similarity","William W. Cohen","SIGMOD Conference","1998"
"journals/vldb/WidomS00","Foreword by the VLDB '98 PC Chairmen: Best Papers of VLDB '98","Oded Shmueli, Jennifer Widom","VLDB J.","2000"
"conf/vldb/BlottKS98","Information, Communication, and Money: For What Can We Charge and How Can We Meter It?","Henry F. Korth, Stephen Blott, Abraham Silberschatz","VLDB","1998"
"conf/vldb/RusinkiewiczKTWM95","Towards a Cooperative Transaction Model - The Cooperative Activity Model","Thomas Tesch, Peter Muth, Wolfgang Klas, Marek Rusinkiewicz, J�rgen W�sch","VLDB","1995"
"conf/sigmod/Kleissner95","Enterprise Objects Framework, A Second Generation Object-Relational Enabler","Charly Kleissner","SIGMOD Conference","1995"
"conf/sigmod/HanFHCC94","DBLearn: A System Prototype for Knowledge Discovery in Relational Databases","Yue Huang, Yandong Cai, Yongjian Fu, Nick Cercone, Jiawei Han","SIGMOD Conference","1994"
"journals/sigmod/Kim02","Conceptual Modeling and Specification Generation for B2B Business Process based on ebXML","HyoungDo Kim","SIGMOD Record","2002"
"conf/sigmod/DanielsDDEHJJLSSS94","Oracle's Symmetric Replication Technology and Implications for Application Design","Benny Souder, Bob Jenkins, Lip Boon Doo, Peter Lim, Gordon Smith, Dean Daniels, Curtis Elsbernd, Gary Hallmark, Alan Downing, Jim Stamos, Sandeep Jain","SIGMOD Conference","1994"
"conf/sigmod/AltinelLKMPLWB02","DBCache: database caching for web application servers","Sailesh Krishnamurthy, C. Mohan, Larry Brown, Hamid Pirahesh, Mehmet Altinel, Honguk Woo, Qiong Luo, Bruce G. Lindsay","SIGMOD Conference","2002"
"journals/vldb/DanYC95","Characterization of Database Access Pattern for Analytic Prediction of Buffer Hit Probability","Jen-Yao Chung, Asit Dan, Philip S. Yu","VLDB J.","1995"
"conf/sigmod/ZhaoDNS98","Simultaneous Optimization and Evaluation of Multiple Dimensional Queries","Amit Shukla, Jeffrey F. Naughton, Yihong Zhao, Prasad Deshpande","SIGMOD Conference","1998"
"conf/vldb/GantiLR00","ICICLES: Self-Tuning Samples for Approximate Query Answering","Venkatesh Ganti, Raghu Ramakrishnan, Mong-Li Lee","VLDB","2000"
"journals/sigmod/Kim94","Observations on the ODMG-93 Proposal","Won Kim","SIGMOD Record","1994"
"journals/vldb/LandauST95","Historical Queries Along Multiple Lines of Time Evolution","Vassilis J. Tsotras, Gad M. Landau, Jeanette P. Schmidt","VLDB J.","1995"
"conf/vldb/OConnellWG01","Collaborative Analytical Processing - Dream or Reality? (Panel abstract)","Goetz Graefe, William O'Connell, Andrew Witkowski","VLDB","2001"
"conf/sigmod/MassariPSC95","QBI: Query By Icons","Antonio Massari, Panos K. Chrysanthis, Lorenzo Saladini, Stefano Pavani","SIGMOD Conference","1995"
"conf/vldb/McHughW99","Query Optimization for XML","Jason McHugh, Jennifer Widom","VLDB","1999"
"journals/sigmod/SegevJS95","Report on The 1995 International Workshop on Temporal Databases","Arie Segev, Richard T. Snodgrass, Christian S. Jensen","SIGMOD Record","1995"
"conf/vldb/PantiSG00","A Case-Based Approach to Information Integration","Maurizio Panti, Alberto Giretti, Luca Spalazzi","VLDB","2000"
"journals/sigmod/LometBCLN98","The Microsoft Database Research Group","Roger S. Barga, David B. Lomet, Per-�ke Larson, Surajit Chaudhuri, Vivek R. Narasayya","SIGMOD Record","1998"
"journals/sigmod/HummerLW02","Contracting in the Days of eBusiness","Wolfgang H�mmer, Wolfgang Lehner, Hartmut Wedekind","SIGMOD Record","2002"
"conf/vldb/NipplM98","TOPAZ: a Cost-Based, Rule-Driven, Multi-Phase Parallelizer","Bernhard Mitschang, Clara Nippl","VLDB","1998"
"conf/sigmod/TomasicGS94","Incremental Updates of Inverted Lists for Text Document Retrieval","Hector Garcia-Molina, Anthony Tomasic, Kurt A. Shoens","SIGMOD Conference","1994"
"journals/sigmod/LudascherMM01","Preservation of Digital Data with Self-Validating, Self-Instantiating Knowledge-Based Archives","Reagan Moore, Bertram Lud�scher, Richard Marciano","SIGMOD Record","2001"
"conf/sigmod/BrinMS97","Beyond Market Baskets: Generalizing Association Rules to Correlations","Rajeev Motwani, Sergey Brin, Craig Silverstein","SIGMOD Conference","1997"
"journals/sigmod/RossHKRRSS01","Reminiscences on Influential Papers","Daniel J. Rosenkrantz, Nick Koudas, Dan Suciu, Peter Scheuermann, Rajeev Rastogi, Jiawei Han, Kenneth A. Ross","SIGMOD Record","2001"
"conf/vldb/ChatziantoniouR97","Groupwise Processing of Relational Queries","Kenneth A. Ross, Damianos Chatziantoniou","VLDB","1997"
"conf/vldb/AcharyaFZ96","Disseminating Updates on Broadcast Disks","Swarup Acharya, Stanley B. Zdonik, Michael J. Franklin","VLDB","1996"
"conf/sigmod/Bernstein96","Repository System Engineering","Philip A. Bernstein","SIGMOD Conference","1996"
"journals/sigmod/Chen94","Database Research at NTHU and ITRI","Arbee L. P. Chen","SIGMOD Record","1994"
"journals/sigmod/Etzion99","Report on NGITS'99: The 4th International Workshop on Next Generation Information Technologies and Systems","Opher Etzion","SIGMOD Record","1999"
"journals/sigmod/Qian96","Shutdown, Budget, and Funding","Xiaolei Qian","SIGMOD Record","1996"
"conf/sigmod/GravanoCGP97","STARTS: Stanford Proposal for Internet Meta-Searching (Experience Paper)","Hector Garcia-Molina, Luis Gravano, Kevin Chen-Chuan Chang, Andreas Paepcke","SIGMOD Conference","1997"
"conf/vldb/MoserKK95","L/MRP: A Buffer Management Strategy for Interactive Continuous Data Flows in a Multimedia DBMS","Wolfgang Klas, Frank Moser, Achim Kraiss","VLDB","1995"
"conf/vldb/WienerN95","OODB Bulk Loading Revisited: The Partitioned-List Approach","Jeffrey F. Naughton, Janet L. Wiener","VLDB","1995"
"journals/sigmod/KannanKIK03","Energy and rate based MAC protocol for wireless sensor networks","Ramaraju Kalidindi, Vijay Kumar, Rajgopal Kannan, S. Sitharama Iyengar","SIGMOD Record","2003"
"journals/sigmod/Weikum02","Foundations of Statistical Natural Language Processing - Book Review","Gerhard Weikum","SIGMOD Record","2002"
"conf/vldb/BasuFP00","Building Scalable Internet Applications with Oracle8i Server","Olga Peschansky, Jos� Alberto Fern�ndez, Julie Basu","VLDB","2000"
"conf/sigmod/BarbosaMKL02","ToXgene: a template-based data generator for XML","Alberto O. Mendelzon, John Keenleyside, Denilson Barbosa, Kelly A. Lyons","SIGMOD Conference","2002"
"conf/sigmod/KanthRA02","Quadtree and R-tree indexes in oracle spatial: a comparison using GIS data","Kothuri Venkata Ravi Kanth, Siva Ravada, Daniel Abugov","SIGMOD Conference","2002"
"conf/vldb/DattaRT99","Curio: A Novel Solution for Efficient Storage and Indexing in Data Warehouses","Helen M. Thomas, Krithi Ramamritham, Anindya Datta","VLDB","1999"
"conf/vldb/GuntzerBK00","Optimizing Multi-Feature Queries for Image Databases","Ulrich G�ntzer, Werner Kie�ling, Wolf-Tilo Balke","VLDB","2000"
"conf/sigmod/FlorescuGKR02","XL: a platform for web services","Andreas Gr�nhagen, Steffen Rost, Donald Kossmann, Daniela Florescu","SIGMOD Conference","2002"
"conf/sigmod/LeflerSW96","DBSim: A Simulation Tool for Predicting Database Performance","Craig Wong, Mark Stokrp, Mike Lefler","SIGMOD Conference","1996"
"journals/sigmod/Wiegand03","Review of Spatial databases with application to GIS by Philippe Rigaux, Michel Scholl, and Agnes Voisard. Morgan Kaufmann 2002","Nancy Wiegand","SIGMOD Record","2003"
"journals/sigmod/Wedekind94","Are the Terms Version and Variant Orthogonal to One Another? A Critical Assessment of the STEP Standardization","Hartmut Wedekind","SIGMOD Record","1994"
"journals/sigmod/Anisimov03","Review of The data warehouse toolkit: the complete guide to dimensional modeling (2nd edition) by Ralph Kimball, Margy Ross. John Wiley & Sons, Inc. 2002","Alexander A. Anisimov","SIGMOD Record","2003"
"conf/sigmod/MeccaAMMS98","The Araneus Web-Base Management System","Giansalvatore Mecca, Paolo Merialdo, Alessandro Masci, Paolo Atzeni, Giuseppe Sindoni","SIGMOD Conference","1998"
"journals/sigmod/MusickM98","Report on the Second IEEE Metadata Conference (Metadata '97)","Chris Miller, Ron Musick","SIGMOD Record","1998"
"journals/tods/FraternaliT95","A Structured Approach for the Definition of the Semantics of Active Databases","Letizia Tanca, Piero Fraternali","ACM Trans. Database Syst.","1995"
"conf/sigmod/HullZ96","A Framework for Supporting Data Integration Using the Materialized and Virtual Approaches","Gang Zhou, Richard Hull","SIGMOD Conference","1996"
"journals/vldb/HalkidiNVV03","THESUS: Organizing Web document collections based on link semantics","Benjamin Nguyen, Iraklis Varlamis, Maria Halkidi, Michalis Vazirgiannis","VLDB J.","2003"
"conf/vldb/Chawathe99","Comparing Hierarchical Data in External Memory","Sudarshan S. Chawathe","VLDB","1999"
"journals/sigmod/SureSS02","Methodology for Development and Employment of Ontology Based Knowledge Management Applications","Steffen Staab, Rudi Studer, York Sure","SIGMOD Record","2002"
"journals/vldb/SivasankaranSTPR96","Priority Assignment in Real-Time Active Databases","Rajendran M. Sivasankaran, Bhaskar Purimetla, John A. Stankovic, Krithi Ramamritham, Donald F. Towsley","VLDB J.","1996"
"journals/sigmod/BargaL02","Phoenix Project: Fault-Tolerant Applications","Roger S. Barga, David B. Lomet","SIGMOD Record","2002"
"conf/vldb/DarEGP98","DTL's DataSpot: Database Exploration Using Plain Language","Gadi Entin, Shai Geva, Shaul Dar, Eran Palmon","VLDB","1998"
"journals/sigmod/LuoI02","Interviewing During a Tight Job Market","Zachary G. Ives, Qiong Luo","SIGMOD Record","2002"
"conf/sigmod/Larson01","XML Data Management Go Native or Spruce up Relational Systems? (Panel Abstract)","Per-�ke Larson","SIGMOD Conference","2001"
"journals/sigmod/YanG95","Information Finding in a Digital Library: The Stanford Perspective","Tak W. Yan, Hector Garcia-Molina","SIGMOD Record","1995"
"journals/sigmod/Chaudhri95","An Annotated Bibliography of Benchmarks for Object Databases","Akmal B. Chaudhri","SIGMOD Record","1995"
"conf/vldb/Mohan01","Caching Technologies for Web Applications","C. Mohan","VLDB","2001"
"journals/sigmod/McClatcheyV97","Workshop on Workflow Management in Scientific and Engineering Applications - Report","Gottfried Vossen, Richard McClatchey","SIGMOD Record","1997"
"conf/vldb/ScheuermannSV96","WATCHMAN : A Data Warehouse Intelligent Cache Manager","Peter Scheuermann, Radek Vingralek, Junho Shim","VLDB","1996"
"conf/vldb/JagadishKMPSS98","Optimal Histograms with Quality Guarantees","S. Muthukrishnan, H. V. Jagadish, Kenneth C. Sevcik, Torsten Suel, Nick Koudas, Viswanath Poosala","VLDB","1998"
"conf/vldb/ZhangL97","Dynamic Memory Adjustment for External Mergesort","Weiye Zhang, Per-�ke Larson","VLDB","1997"
"conf/sigmod/WangCMSSZ94","Combinatorial Pattern Discovery for Scientific Data: Some Preliminary Results","Kaizhong Zhang, Jason Tsong-Li Wang, Bruce A. Shapiro, Thomas G. Marr, Gung-Wei Chirn, Dennis Shasha","SIGMOD Conference","1994"
"conf/vldb/ChawatheCY94","On Index Selection Schemes for Nested Object Hierarchies","Sudarshan S. Chawathe, Ming-Syan Chen, Philip S. Yu","VLDB","1994"
"conf/sigmod/Doherty98","Database Systems Management and Oracle8","C. Gregory Doherty","SIGMOD Conference","1998"
"conf/sigmod/FukudaMMT96a","SONAR: System for Optimized Numeric AssociationRules","Takeshi Tokuyama, Takeshi Fukuda, Yasuhiko Morimoto, Shinichi Morishita","SIGMOD Conference","1996"
"conf/vldb/DarFJST96","Semantic Data Caching and Replacement","Bj�rn ��r J�nsson, Shaul Dar, Divesh Srivastava, Michael Tan, Michael J. Franklin","VLDB","1996"
"journals/vldb/RamanRH00","Online dynamic reordering","Bhaskaran Raman, Joseph M. Hellerstein, Vijayshankar Raman","VLDB J.","2000"
"journals/sigmod/McHughAGQW97","Lore: A Database Management System for Semistructured Data","Roy Goldman, Serge Abiteboul, Jennifer Widom, Dallan Quass, Jason McHugh","SIGMOD Record","1997"
"conf/vldb/WuYCT95","A Performance Study of Workfile Disk Management for Concurrent Mergesorts in a Multiprocessor Database System","Kun-Lung Wu, Philip S. Yu, James Z. Teng, Jen-Yao Chung","VLDB","1995"
"journals/sigmod/JukicV97","Asserting Beliefs in MLS Relational Models","Nenad Jukic, Susan V. Vrbsky","SIGMOD Record","1997"
"journals/sigmod/StolfoLCFE01","Data Mining-based Intrusion Detectors: An Overview of the Columbia IDS Project","Wenke Lee, Eleazar Eskin, Wei Fan, Salvatore J. Stolfo, Philip K. Chan","SIGMOD Record","2001"
"conf/vldb/GilbertKMS01","Surfing Wavelets on Streams: One-Pass Summaries for Approximate Aggregate Queries","Anna C. Gilbert, Martin Strauss, Yannis Kotidis, S. Muthukrishnan","VLDB","2001"
"journals/tods/JajodiaSSS01","Flexible support for multiple access control policies","V. S. Subrahmanian, Sushil Jajodia, Pierangela Samarati, Maria Luisa Sapino","ACM Trans. Database Syst.","2001"
"conf/sigmod/Team95a","Paradise: A Database System for GIS Applications","Paradise Team","SIGMOD Conference","1995"
"journals/sigmod/ButtlerCCFHLPRX02","Querying Multiple Bioinformatics Data Sources: Can Semantic Web Research Help?","Terence Critchlow, Matthew Coleman, David Buttler, Wei Han, Daniel Rocco, Li Xiong, Ling Liu, Calton Pu, Renato Fileto","SIGMOD Record","2002"
"conf/vldb/Guting94","GraphDB: Modeling and Querying Graphs in Databases","Ralf Hartmut G�ting","VLDB","1994"
"journals/sigmod/NobleS95","A Research Status Report on Adaptation for Mobile Data Access","Brian Noble, Mahadev Satyanarayanan","SIGMOD Record","1995"
"conf/vldb/GrumbachRS00","Manipulating Interpolated Data is Easier than You Thought","St�phane Grumbach, Philippe Rigaux, Luc Segoufin","VLDB","2000"
"journals/tods/BozkayaO99","Indexing Large Metric Spaces for Similarity Search Queries","Z. Meral �zsoyoglu, Tolga Bozkaya","ACM Trans. Database Syst.","1999"
"conf/vldb/HelmerWM98","Diag-Join: An Opportunistic Join Algorithm for 1:N Relationships","Sven Helmer, Guido Moerkotte, Till Westmann","VLDB","1998"
"conf/sigmod/ButtlerLPP01","OminiSearch: A Method for Searching Dynamic Content on the Web","Henrique Paques, Ling Liu, David Buttler, Calton Pu","SIGMOD Conference","2001"
"conf/sigmod/CranorGJSS02","Gigascope: high performance network monitoring with an SQL interface","Yuan Gao, Theodore Johnson, Charles D. Cranor, Vladislav Shkapenyuk, Oliver Spatscheck","SIGMOD Conference","2002"
"conf/sigmod/RundensteinerKRCJM96","The MultiView Project: Object-Oriented View Technology and Applications","Young-Gook Ra, Viviane Crestana-Taube, Matthew C. Jones, Elke A. Rundensteiner, Pedro Jos� Marr�n, Harumi A. Kuno","SIGMOD Conference","1996"
"conf/sigmod/Hellerstein94","Practical Predicate Placement","Joseph M. Hellerstein","SIGMOD Conference","1994"
"conf/sigmod/DeshpandeRSN98","Caching Multidimensional Queries Using Chunks","Karthikeyan Ramasamy, Prasad Deshpande, Amit Shukla, Jeffrey F. Naughton","SIGMOD Conference","1998"
"journals/sigmod/BaaderJN97","Intelligent Access to Heterogeneous Information Sources: Report on the 4th Workshop on Knowledge Representation Meets Databases","Manfred A. Jeusfeld, Franz Baader, Werner Nutt","SIGMOD Record","1997"
"conf/vldb/CareyHMW96","PESTO : An Integrated Query/Browser for Object Databases","Laura M. Haas, Michael J. Carey, Vivekananda Maganty, John H. Williams","VLDB","1996"
"conf/sigmod/HungYK96","CapBasED-AMS: A Capability-based and Event-driven Activity Management System","Kamalakar Karlapalem, Helen P. Yeung, Patrick C. K. Hung","SIGMOD Conference","1996"
"journals/sigmod/Aggarwal01","Re-designing Distance Functions and Distance-Based Applications for High Dimensional Data","Charu C. Aggarwal","SIGMOD Record","2001"
"journals/sigmod/AbererCH02","A Framework for Semantic Gossiping","Manfred Hauswirth, Karl Aberer, Philippe Cudr�-Mauroux","SIGMOD Record","2002"
"conf/sigmod/JarkeQBLMS99","Improving OLTP Data Quality Using Data Warehouse Mechanisms","Matthias Jarke, Dirk Lehmann, Gunter Michalk, Guido Blees, Stefan Striel, Christoph Quix","SIGMOD Conference","1999"
"journals/vldb/PucheralBVB01","PicoDBMS: Scaling down database techniques for the smartcard","Patrick Valduriez, Philippe Pucheral, Christophe Bobineau, Luc Bouganim","VLDB J.","2001"
"conf/sigmod/MoonSL00","Adaptive Multi-Stage Distance Join Processing","Sukho Lee, Bongki Moon, Hyoseop Shin","SIGMOD Conference","2000"
