"id","title","authors","venue","year"
"RtYWYRjBUmEJ","Type-safe relaxing of schema consistency rules for flexible modelling in OODBMS","E Amiel, MJ Bellosta, E Dujardin, E Simon","The VLDB Journal The International Journal on Very Large  &hellip;,","1996"
"vA_YTBbNegEJ","APEX: An adaptive path index for XML data","CWCJ KM, K Shim","ACM SIGMOD,",""
"S-LYnzS1K70J","Semantic interoperability in global information systems: A brief introduction to the research and  ","A Ouksel, A Sheth","ACM SIGMOD RECORD. Special Section on Semantic  &hellip;,",""
"BJBeZ446Yc0J","Efficient and extensible algorithms for multi query optimization","PS Seshadri, S Sudarshan, S Bhobe","Proc. SIGMOD, Dallas, USA,",""
"-H3tXntLhowJ","Secure andPortableDatabaseExtensibility","M Godfrey, T Mayr, P Seshadri, T von Eicken","Proc. ACM SIGMOD",""
"I-r1LE1najAJ","Semantic Video Indexing: Approach and Issues","A Hampapur","SIGMOD Record,","1999"
"k8EsgEuKhQ0J","LEO-DB2's Learning Optimizer","M Stillger, G Lohman, V Markl, M Kandil","VLDB,","2001"
"PlitMluIJyYJ","Open GIS and On-Line Environmental Libraries","K Gardels","SIGMOD Record,","1997"
"CKm9XhI_8k4J","Srikant. Fast algorithms for mining association rules","R Agrawal andR","Proc. 1994",""
"url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D306124%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222","Discovering Internet Marketing Intelligence through Online Analytical Web Usage Mining","MD Mulvenna","SIGMOD Record,","1998"
"OubIayl1628J","Modeling high-dimensional index structures using sampling","AK Singh, CA Lang","Proc. ACM SIGMOD Intâ??l Conf. on Management of Data, Santa  &hellip;,",""
"8ZjEDOBUd_QJ","Bounded Ignorance: A Technique for Increasing Concurrency in a Replicated System","N Krishnakumar, AJ Bernstein","ACM Transactions on Database Systems,","1994"
"-rTWS2erFQcJ","Fast Computation of Sparse Datacubes","KA Ross, D Srivastava","Proceedings of the 23rd International Conference on Very  &hellip;,","1997"
"qjLiaKLJ6eQJ","Concurrency and recovery for index trees","D Lomet, B Salzberg","The VLDB Journal The International Journal on Very Large  &hellip;,","1997"
"lURUgKLK9kAJ","Yuqing Wu. T imber: A native XML database","HV Jagadish, S Al-Khalifa, L Lakshmanan, A Nierman ","&hellip;  of Michigan, April 2002. http://www. eecs. umich.",""
"86-DS0U0jY0J","Pattern Matching and Pattern Discovery in Scientific, Program, and Document Databases.","ACMS Anthology, P Edition","",""
"uLiEqn5nA_IJ","An Efficient Bitmap Encoding Scheme for Selection Queries, SIGMOD 1999","C Chan, YE Ioannidis","Proceedings ACM SIGMOD International Conference on  &hellip;,",""
"v7A9Otp7OjsJ","Processing complex aggregate queries over data streams","A Dobra, MN Garofalakis, J Gehrke, R Rastogi","SIGMOD Conference,","2002"
"MoNBLfTlYg0J","The REACH active OODBMS","AP Buchmann, A Deutsch, J Zimmermann, M Higa","Proceedings of the 1995 ACM SIGMOD International Conference  &hellip;,","1995"
"frMKnMtrsksJ","An Efficient Index Structure for String Databases","T Kahveci, AK Singh","VLDB,","2001"
"8YoYzQtOgYoJ","HMAP-A temporal data model managing intervals with different granularities and indeterminacy from  ","C Combi, G Pozzi","The VLDB Journal The International Journal on Very Large  &hellip;,","2001"
"XRtCyfosWhMJ","Siegel. E &amp; and Protopapas. Z.(1996). Fast nearest-neighbor search in medical image databases","P Korn, N Sidiropoulos, C Faloutsos","Proceedings of 22 thInternational Conference on Very Large ",""
"NYQMkdaH2egJ","Logical Design for Temporal Databases with Multiple Granularities","XS Wang, C Bettini, A Brodsky, S Jajodia","ACM Transactions on Database Systems,","1997"
"qIzj09N-Qr8J","Power Efficient Data Gathering and Aggregation in Wireless Sensor Networks","H Tan, I Korpeoglu","SIGMOD RECORD,","2003"
"JSrjKrTM_3sJ","New TPC Benchmarks for Decision Support and Web Commerce","M Poess, C Floyd","ACM SIGMOD Record,","2000"
"z6JEYoArZmsJ","Query processing techniques for arrays","AP Marathe, K Salem","The VLDB Journal The International Journal on Very Large  &hellip;,","2002"
"wozKEQCoZvwJ","An OR-DBMS with Enhanced Data Types","P Seshadri, MP PREDATOR","ACM SIGMOD Conf., Tucson, Arizona,",""
"kHE9-cv77fwJ","Distributed Transactions in Practice.","ACMS Anthology","SIGMOD Record,","1999"
"url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D565127%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222","David DeWitt Speaks Out","S be Proud, HSFIS Very, P Spent","SIGMOD Record,","2002"
"Hc9uWxJu840J","The demarcation protocol: A technique for maintaining constraints in distributed database systems","D BarbarÃ¡-MillÃ¡, H Garcia-Molina","The VLDB Journal The International Journal on Very Large  &hellip;,","1994"
"t5wcMnkbsiUJ","andR. Muntz,â??STING: AStatisticalInformation Grid Approach to Spatial Data Mining,â??","W Wang, J Yang","Proc. Conf. VLDB,",""
"WTuHfc-D3TwJ","Parallelizing OODBMS traversals: a performance evaluation","DJ De Witt, JF Naughton, JC Shafer, S Venkataraman","The VLDB Journal The International Journal on Very Large  &hellip;,","1996"
"mg9ABNG06O4J","PREFER: A System for the Efficient Execution of Multi-parametric Ranked Queries","V Hristidis, N Koudas, Y Papakonstantinou","SIGMOD Conference,","2001"
"zdkN438QOV4J","SYW Su. K: A High-Level Knowledge Base Programming Language","YM Shyy","Proceedings, International Conference on Management of",""
"3TivNLIErRkJ","AgFlow: Agent-based Cross-Enterprise Workflow Management System","L Zeng, B Benatallah, P Nguyen, AHH Ngu","Proceedings of the 27th International Conference on Very  &hellip;,","2001"
"J9bYvZ3eKygJ","Improved Query Performance with Variant Indexes","PON O'NQUA, D Quass","Extended paper, available on h ttp:/www. c s. umb. edu/--po ",""
"oHXkI3GgweIJ","A vision for management of complex models","PA Bemsten, AY Levy, RA Pottinger","Technical Report MSR-TR-2000-53, Microsoft Research,",""
"y_H9p9Lqj3IJ","SQL open heterogenous data access","B Reinwald, H Pirahesh","Proceedings of the ACM SIGMOD International Conference on  &hellip;,",""
"url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D310071%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222","NSF Workshop on Industrial/Academic Cooperation in Database Systems","M Carey, L Seligman","SIGMOD Record,","1999"
"O5m6UXQ_Xv4J","Timer-Driven Database Triggers and Alerters","EN Hanson, LX Noronha","",""
"jteJcGoGxnMJ","Loading a Cache with Query Results","LM Haas","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,","1999"
"8sohtsoGrycJ","SchemaSQL {a Language for Querying and Restructuring multidatabase systems. In Proc. IEEE Int. Conf. ","LVS Lakshmanan, F Sadri, IN Subramanian","Bombay, India, September,",""
"_6wwPJEGUiAJ","Optimization of dynamic query evaluation plans","G Graefe, R Cole","Proc. of ACM SIGMOD Conf. on Management of Data, Minneapolis &hellip;,","1994"
"oR7DmJ9JJDYJ","Mixed Mode XML Query Processing","A Halverson, J Burger, L Galanis, A Kini, R  ","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,","2003"
"MkHxLPaNdqoJ","A conceptual architecture for semantic enabled web services","C Bussler, A Maedche, D Fensel","ACM SIGMOD,",""
"U30GdgmfAncJ","The BEA streaming XQuery processor","D Florescu, C Hillery, D Kossmann, P Lucas, F  ","The VLDB Journal The International Journal on Very Large  &hellip;,","2004"
"CD_xefdItVkJ","A Comprehensive XQuery to SQL Translation Using Dynamic Interval Coding","D DeHaan, D Toman, MP Consens, MT Ozsu","Proceedings of the ACM",""
"iRJV85kKVgwJ","Distributed Processing over Stand-alone Systems and Applications","G Alonso, C Hagen, HJ Schek, M Tresch","VLDB,","1997"
"K2xCMgImpVkJ","The A-tree: An Index Structure for High-Dimensional Spaces Using Relative Approximation","Y Sakurai, M Yoshikawa, S Uemura, H Kojima","VLDB,","2000"
"szHsyFiOuwAJ","Unrolling Cycles to Decide Trigger Termination","SY Lee, TW Ling","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,","1999"
"6WIF-_hBZZgJ","Y. Manolopou-10s:â??Fast Subsequence Matching in Time-Series Databasesâ??","C Faloutsos, M Ranganathan","Proceedings of the 1994 ACM SIGMOD",""
"fHp5E4Rxt7cJ","Exchanging Intensional XML Data","T Milo, S Abiteboul, B Amann, O Benjelloun, FD  ","ACM Transactions on Database Systems,","2005"
"InqySB8bkKkJ","Grid Data Management Systems &amp; Services","A Jagatheesan, R Moore","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,","2003"
"nDGblldnEGAJ","XSB as a deductive database","K Sagonas, T Swift, DS Warren","Proceedings of the 1994 ACM SIGMOD international conference  &hellip;,","1994"
"NBlCYs05V_EJ","e Suciu, D.,â??A query language for a web-site management systemâ??","M Fernandez, D Florescu, J Kang, A Levy","SIGMOD Record, Setembro de,",""
"SLTZN9O1_wUJ","Amalgamating knowledge bases","VS Subrahmanian","ACM Transactions on Database Systems,","1994"
"hk2lzbke6hQJ","Optimization of predicates with user-defined predicates","S Chaudhuri, K Shim","Proceedings of 23rd International Conference on Very Large  &hellip;,",""
"PZTESZecfnQJ","Continually evaluating similarity-based pattern queries on a streaming time series","L Gao, XS Wang","SIGMOD Conference,","2002"
"8jTTpoQc2RkJ","Starts: Stanford proposal for internet meta-searching","HGMAP Luis, CCKC Gravano","Technical report, Stanford University,",""
"TuZ-fjos6I0J","Workflow Automation: Technology, Applications, and Research","A Sheth","CAiSE 95 Tutorial",""
"PAcS8vELrawJ","FA: Building light-weight wrappers for legacy web datasources using w4f","A Sahuguet","Proceedings of the International Conference on Very Large ",""
"ShFgK7Iev-QJ","DBIS-Toolkit: Adaptive Middleware for Large Scale Data Delivery","M Altinelâ?¦","&hellip;  of the 1999 International Conference on Management of Data ",""
"Ah9B3bWU0jEJ","Secure Transaction Processing in Firm Real-Time Database Systems","B George, J Haritsa","SIGMOD Conference,","1997"
"A-OWMulBkOoJ","Methodology for Development and Employment of Ontology based Knowledge Management Applications.  ","Y Sure, S Staab, R Studer","SIGMOD Record (4),",""
"xnNIRajBihoJ","OODB indexing by class division, APIC Series","S Ramaswamy, P Kanellakis","","1995"
"pBKI-JCAlcIJ","Best-effort cache synchronization with source cooperation","C Olston, J Widom","SIGMOD Conference,","2002"
"moMP8RcSDhgJ","The Basic Building Blocks for Modeling Communication Behavior of Complex Objects: an Activity-driven ","L Liu, R Meersman","ACM Transactions on Database Systems,",""
"pw234_REfHUJ","Query Caching and Optimization in Mediator Systems","S Adali, S Candan, Y Papakonstantinou, VS  ","ACM",""
"JHJ-NMsTtL0J","Tutorial: State of the Art in Workflow Management System Products and Research''","C Mohan","&hellip;  Study Institute on Workflow Systems and Interoperability,",""
"qWGJZFXi414J","R-Tree Based Indexing of Now-Relative Bitemporal Data","RBCSJ SimonasSaltenis, G Slivinskas","",""
"OV5GSHDaYNMJ","Finding Generalized Projected Clusters in High Dimensional Spaces, Sigmoid Record v. 29, No. 2, 2000 ","C Aggrawal, PS Yu","On Management of Data, Dallas, TX,",""
"AatoNnELw78J","SQLJ Part 0, Now Known as SQL/OLB (Object-Language Bindings)","A Eisenberg, J Melton","SIGMOD Record,","1998"
"XirELrPeTd4J","Change-centric management of versions in an XML warehouse In Proc. of the 27th VLDB","A Marian, S Abiteboul, G Cobena, L Mignet","Rome, Italy, Sep,",""
"Q-KG8a3_BmIJ","Lessons from Wall Street: case studies in database tuning, configuration, and replication","D Shasha","Proc. 1997 ACM Sigmod",""
"NsxXW_CvQpkJ","Data Morphing: An Adaptive, Cache-Conscious Storage Technique","RA Hankins, JM Patel","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,","2003"
"M2bWqRDDfkUJ","Approximate medians and other order statistics in one pass and with limited memory: Theory and  ","G Manku, S Rajagopalan, B Lindsay","Proceedings of SIGMOD 98, to",""
"AgBMhm_0uEIJ","METU Object-Oriented DBMS","A Dogac, C Ozkan, B Arpinar, T Okay, C Evrendilek","",""
"LOXd8JPfhpwJ","Applications of the JAVA Programming Language to Database Management","BF Burton, VW Marek","SIGMOD Record,","1998"
"uCNkDoBniLgJ","State of the Art in Workflow Management System Research and Products","C Mohan","&hellip; : NATO Advanced Study Institute (ASI) on Workflow Management",""
"ntrSSBumclMJ","Integrating and customizing heterogeneous e-commerce applications","A Eyal, T Milo","The VLDB Journal The International Journal on Very Large  &hellip;,","2001"
"GcedmSsoWusJ","C., DeWitt, D., &amp; Naughton, J.(1999) Relational databases for querying xml documents: Limitations  ","JT Shanmugasundaram, K He, G Zhang","Proceedings of the 25th VLDB Conference. http://www. cs. ",""
"oynyctdLMcoJ","Of objectsanddatabases: Adecadeofturmoil","MJ CAREY, DJ DEWITT","VLDB,",""
"pN4pq6qELakJ","An Effective Hash-based Algorithm for Mining Association Rules. In: Proc. Of the 1995 ACM SIGMOD  ","JS Park","","1995"
"Io4omPiDA94J","Logical design for temporal databases with multiple","XS Wang, C Bettini, S Jajodia","ACM Transactions on Database Systems,",""
"url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D223878%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222","Order-of-Magnitude Advantage on TPC-C through Massive Parallelism","C Levine","",""
"6SBwemr2zscJ","Implementing Crash Recovery in QuickStore: A Performance Study",", DJ DeWitt","SIGMOD Conference,","1995"
"hIMueG-GeNsJ","Widmayer:â??A General Approach to Bulk Loading Multidimensional Index Structuresâ??","S van den Bercken","","1997"
"eFynrwKK_T0J","Performance Measurements of Tertiary Storage Devices","T Johnson, EL Miller","VLDB,","1998"
"77Sb5mlyASgJ","Retrieval of Composite Multimedia Objects","S Chaudhuri, S Ghandeharizadeh, C Shahabi","Proceedings of the 21th International Conference on Very  &hellip;,","1995"
"uy8MOTvPkOsJ","Eager aggregation and lazy aggregation","PY Weipeng, L Per-Ake","Proceedings of the 21st International Conference on Very  &hellip;,",""
"c__Nxyn_uvwJ","Towards Effective and Efficient Free Space Management","ML McAulie, MJ Carey, MH Solomon","Proceedings of the 1996 ACM SIGMOD International Conference ",""
"z9MQwq7G3GYJ","Integration of Spatial Join Algorithms for Processing Multiple Inputs","N Mamoulis, D Papadias","SIGMOD Conference,","1999"
"vUONDuuNNCQJ","Language specification","RT Snodgrass","The TSQL2 Temporal Query",""
"xFQWX4M8E2YJ","The Consensus Glossary of Temporal Database Concepts-February 1998 Version","CS Jensen, CE Dyreson","",""
"mu31RuCR_E4J","Composing mappings among data sources","A Halevy, J Madhavan","Proceedings of the conference on very large databases,  &hellip;,",""
"B87s9MFTeZ8J","Algebraic query optimisation for database programming languages","A Poulovassilis, C Small","The VLDB Journal The International Journal on Very Large  &hellip;,","1996"
"-k0cD5NwXnoJ","Selectivity EstimationinSpatial Databases","S Acharya, V Poosala, S Ramaswamy","Proc. ACM SIGMOD,",""
"8lBDhvljrAEJ","Filtering Algorithms and Implementation for Very Fast Publish/Subscribe Systems","F Fabret, HA Jacobsen, F Llirbat, J Pereira, KA  ","SIGMOD RECORD,","2001"
"9KiPVAodKnYJ","Processing Star Queries on Hierarchically-Clustered Fact Tables","N Karayannidis, A Tsois, TK Sellis, R Pieringer, V ","VLDB,","2002"
"2V2bnIgsY1kJ","The MV3R-tree: a spatio-temporal access method for timestamp and interval queries - group of 4 &raquo;","Y Tao, D Papadias","Proceedings of the 27th International Conference on Very  &hellip;,","2001"
"QdPN-QtgceAJ","Data mining using two-dimensional optimized association rules for numeric data: scheme, algorithms,  ","T Fukuda, Y Morimoto, S Morishita, T Tokuyama","Proceedings of the ACM SIGMOD International Conference on ",""
"s40fqzss4woJ","Nodose Version 2.0","B Adelberg, M Denny","",""
"VyOa5Uqsj6AJ","Cache-Conscious Concurrency Control of Main-Memory Indexes on Shared-Memory Multiprocessor Systems","SK Cha, S Hwang, K Kim, K Kwon","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,","2001"
"2DiLFd0rgPgJ","Linking Business to Deliver Value: A Data Management Challenge","A Deshpande","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,","2000"
"TmcyYF1CNsYJ","The TPR*-Tree: An Optimized Spatio-Temporal Access Method for Predictive Queries","Y Tao, D Papadias, J Sun","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,","2003"
"_jeGsG2xolAJ","A new SQL-like operator for mining association rules. InT. M. Vijayaraman, AP Buchmann, C. Mohan,  ","R Meo, G Psaila, S Ceri","Proceedings 22nd International Conference on Very Large Data",""
"DakOA4Ew-poJ","A Database Interface for Files Update. To appear:","S Abiteboul, S Cluet, T Milo","Proc. ACM SIGMOD International Conference on Management of  &hellip;,",""
"25xRkmL_4BsJ","Staircase Join: Teach a Relational DBMS to Watch its (Axis) Steps","T Grust, M van Keulen, J Teubner","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,","2003"
"ggV87TiwH04J","The Case for Enhanced Abstract Data Types Praveen Seshadri","P Sesshadri, M Livny, R Ramakrishnan","",""
"1W3ieFgA2dUJ","Design and Implementation of Advanced Knowledge Processing in the KBMS KRISYS, MJ Carey, DA  ","J Thomas, S DeÃ?loch, NM Mattos","Proc. ACM SIGMOD, Exhibits Program, San Jose, CA, SIGMOD  &hellip;,",""
"ficuvb1Q0aUJ","Ã¢â?¬ Near neighbor search in large metric spacesÃ¢â?¬â?¢","S Brin","Proc. 21st Conference on Very Large Databases (VLDBÃ¢â?¬â?¢  &hellip;,",""
"xbt2t9kYWLwJ","Range queries in olap data cubes, in â??SIGMODâ??97","CT Ho, R Agrawal, N Megiddo, R Srikant","&hellip;  ACM SIGMOD International Conference on Management of Data,",""
"dM9iTzhspEUJ","The Onion Technique: Indexing for Linear Optimization Queries","Y chi Chang, L Bergman, V Castelli, C Li, ML Lo, J ","Proceedings of ACM SIGMOD,",""
"5qg4BNiroqMJ","Mediator Languages-a Proposal for a Standard","P Buneman, L Raschid, JD Ullman","SIGMOD Record,","1997"
"4Q5ikiCy82UJ","Analyzing energy behaviorofspatialaccessmethodsformemory-residentdata","N An, A Sivasubramaniam, N Vijaykrishnan, MT  ","The VLDB Journal,",""
"YWG9plUEbigJ","Applying Data Mining Techniques to a Health Insurance Information System","MS Viveros","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,","1996"
"fiDTOBR8njMJ","Sampling large databases for association rules","T Hannu","Proceedins of the 22th International Conference on VLDB.  &hellip;,",""
"JYHcz-HpKjEJ","XML-Based Information Mediation with MIX. In in Demo Session, ACM-SIGMODâ??99","C Baru, A Gupta, B Ludaescher, R Marciano, Y  ","","1999"
"gt_wY6mYF_kJ","METU Object-Oriented Database System, Demo Description","A Dogac","Proceedings of ACM SIGMOD Intl. Conf. on Management of Data, &hellip;,",""
"JhWxdEDCPdUJ","Efficient filtering of XML documents forselective dissemination of information","M Altinel, M Franklin","Proc. the 26th Intâ??l Conf. on Very Large Data Bases",""
"rfuptELfgLkJ","Architecture of Oracle Parallel Server","R Bamford, D Butler, B Klots, N MacNaughton","VLDB,","1998"
"909hLNR8130J","Flow-Back: Providing Backward Recovery for Workflow Management Systems; Procs. 1998ACM SIGMOD Int","B Kiepuszewski, R Muhlberger, M Orlowska","Conf. On Management of Data,",""
"Y1ZxtWV-qeUJ","Scientific Databases-State of the Art and Future Directions","M Zemankova, YE Ioannidis","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,","1994"
"WkXM8o_flrEJ","Mining quantitative association rules in large relational tables","R Agrawal, R Srikant","","1996"
"O9A-15rmzOsJ","Maintenance of implication integrity constraints under updates to constraints","NS Ishakbeyoglu, ZM Ozsoyoglu","The VLDB Journal The International Journal on Very Large  &hellip;,","1998"
"JM1X7hho718J","Implementing Data Cubes EÃ¦-ciently","V Harinarayan, A Rajaraman, J Ullman","Proceedings of ACM Sigmod Conference, Montreal, Canada, June,",""
"mHCrMuxQnBsJ","Information Management for Genome Level Bioinformatics","NW Paton, CA Goble","Proceedings of the 27th International Conference on Very  &hellip;,","2001"
"wO6VeeLIXAsJ","Approximate Medians and other Quantiles in One Pass and with Limited Memory","GS Manku, S Rajagopalan, BG Lindsay","SIGMOD Conference,","1998"
"W6ROObWo3bIJ","OO, what's happening to DB2?","M Carey, D Chamberlin","Proc. ACM SIGMOD Int&#39;l Conf. Management of Data,","1999"
"_xdKnndnOLMJ","BA sequential pattern query language for supporting instant data mining for e-services,^ in Proc","R Sadri, C Zaniolo, AM Zarkesh, J Adibi","Intl. Conf. on Very Large Data Bases (VLDB),",""
"43K14Y5xa0YJ","Temporal Database Implementations","MH Boehlen","SIGMOD Record,",""
"rDObsYKVroMJ","  Study of Alternative Middle Tier Caching Solutions to Support Dynamic Web Content Acceleration","A Datta, K Dutta, HM Thomas, DE VanderMeer, K  ","Proceedings of the 27th International Conference on Very  &hellip;,","2001"
"r1xWRhy7WVUJ","An Annotated Bibliography on Active Databases (Short Version) ACM SIGMOD RECORD","U Jaeger, JC Freytag","",""
"ipAB8UMS7QkJ","An adaptive peer-to-peer network for distributed caching of OLAP results","P Kalnis","SIGMOD Conference,","2002"
"HuPDChjYd44J","Timber: A native system for querying XML","S Paparizos","Proceedings of the 2003 ACM SIGMOD International Conference  &hellip;,","2003"
"url:http://portal.acm.org/citation.cfm%3Fid%3D202106.569784%26coll%3Dportal%26dl%3DACM%26idx%3DJ777%26part%3Dtransaction%26WantType%3Dtransaction%26title%3DACM%2520Transactions%2520on%2520Database%2520Systems%2520(TODS)%26CFID%3D11111111%26CFTOKEN%3D2222222","Editorial: Charter and scope","W Kim","ACM Transactions on Database Systems (TODS),","1995"
"uem5wXLoU0wJ","A case for fractured mirrors","R Ramamurthy, DJ DeWitt, Q Su","The VLDB Journal The International Journal on Very Large  &hellip;,","2003"
"rcSfDxBif40J","Approximate query processing: Taming the terabytes (tutorial)","PB Gibbons, M Garofalakis","","2001"
"DQKMCTskI-MJ","COSIMA-Your Smart, Speaking E-Salesperson","W Kiessling, S Holland, S Fischer, T Ehm","",""
"sAUncbolYJ8J","Extending Practical Pre-Aggregation in On-Line Analytical Processing","TB Pedersen, CS Jensen, CE Dyreson","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,","1999"
"r2TwyhAdYecJ","Lessons from Wall Street: case studies in configuration, tuning, and distribution","D Shasha","Proceedings of the 1997 ACM SIGMOD international conference  &hellip;,","1997"
"xGK3seG0Mn4J","Rudy setiiono, Huan liu, A connectionist approach to data mining","H Lu","Proceedings of the 21st VLDB, Zurish, Swizerland,",""
"U04OC6OSBT0J","ZOO: A Desktop Experiment Management Environment",", M Livny, S Gupta, N Ponnekanti","VLDB,","1996"
