"id","title","authors","venue","year"
"conf/sigmod/ChangBCLLS00","The Onion Technique: Indexing for Linear Optimization Queries","Chung-Sheng Li, Vittorio Castelli, Lawrence D. Bergman, John R. Smith, Yuan-Chi Chang, Ming-Ling Lo","SIGMOD Conference","2000"
"journals/sigmod/BunemanRU97","Mediator Languages - a Proposal for a Standard","Peter Buneman, Louiqa Raschid, Jeffrey D. Ullman","SIGMOD Record","1997"
"conf/vldb/AnSVKIG01","Analyzing energy behavior of spatial access methods for memory-resident data","Anand Sivasubramaniam, Sudhanva Gurumurthi, Narayanan Vijaykrishnan, Ning An, Mary Jane Irwin, Mahmut T. Kandemir","VLDB","2001"
"conf/vldb/ViverosNR96","Applying Data Mining Techniques to a Health Insurance Information System","Michael J. Rothman, John P. Nearhos, Marisa S. Viveros","VLDB","1996"
"conf/vldb/Toivonen96","Sampling Large Databases for Association Rules","Hannu Toivonen","VLDB","1996"
"conf/sigmod/BaruGLMPVC99","XML-Based Information Mediation with MIX","Yannis Papakonstantinou, Richard Marciano, Chaitanya K. Baru, Pavel Velikhov, Vincent Chu, Amarnath Gupta, Bertram Lud�scher","SIGMOD Conference","1999"
"conf/sigmod/DogacAEOADAOS94","METU Object-Oriented DBMS","Cetin Ozkan, Cem Evrendilek, Yuksel Saygin, Ilker Altintas, Ismailcem Budak Arpinar, Mehmet Altinel, Tansel Okay, Ilker Durusoy, Asuman Dogac","SIGMOD Conference","1994"
"conf/vldb/AltinelF00","Efficient Filtering of XML Documents for Selective Dissemination of Information","Michael J. Franklin, Mehmet Altinel","VLDB","2000"
"conf/vldb/BamfordBKM98","Architecture of Oracle Parallel Server","D. Butler, Boris Klots, Roger Bamford, N. MacNaughton","VLDB","1998"
"conf/sigmod/KiepuszewskiMO98","FlowBack: Providing Backward Recovery for Workflow Systems","Maria E. Orlowska, Ralf M�hlberger, Bartek Kiepuszewski","SIGMOD Conference","1998"
"conf/vldb/ZemankovaI94","Scientific Databases - State of the Art and Future Directions","Yannis E. Ioannidis, Maria Zemankova","VLDB","1994"
"conf/sigmod/SrikantA96","Mining Quantitative Association Rules in Large Relational Tables","Ramakrishnan Srikant, Rakesh Agrawal","SIGMOD Conference","1996"
"journals/vldb/IshakbeyogluO98","Maintenance of Implication Integrity Constraints Under Updates to Constraints","Naci Ishakbeyoglu, Z. Meral �zsoyoglu","VLDB J.","1998"
"conf/sigmod/HarinarayanRU96","Implementing Data Cubes Efficiently","Anand Rajaraman, Jeffrey D. Ullman, Venky Harinarayan","SIGMOD Conference","1996"
"conf/vldb/PatonG01","Information Management for Genome Level Bioinformatics","Norman W. Paton, Carole A. Goble","VLDB","2001"
"conf/sigmod/RajagopalanML98","Approximate Medians and other Quantiles in One Pass and with Limited Memory","Bruce G. Lindsay, Gurmeet Singh Manku, Sridhar Rajagopalan","SIGMOD Conference","1998"
"conf/sigmod/CareyCNVDRSM99","O-O, What's Happening to DB2?","Richard Swagerman, Nelson Mendon�a Mattos, Michael J. Carey, Srinivasa Narayanan, Bennet Vance, Doug Doole, Serge Rielau, Donald D. Chamberlin","SIGMOD Conference","1999"
"conf/vldb/SadriZZA01","A Sequential Pattern Query Language for Supporting Instant Data Mining for e-Services","Reza Sadri, Amir M. Zarkesh, Jafar Adibi, Carlo Zaniolo","VLDB","2001"
"journals/sigmod/Bohlen95","Temporal Database System Implementations","Michael H. B�hlen","SIGMOD Record","1995"
